"","destCtryName","TotalSAarrival"
"1","Afghanistan",34
"2","Albania",35
"3","Algeria",544
"4","Angola",14258
"5","Antigua-Barbuda",34
"6","Argentina",434
"7","Armenia",67
"8","Aruba",96
"9","Australia",10902
"10","Austria",4104
"11","Azerbaijan",141
"12","Bahamas",227
"13","Bahrain",870
"14","Bangladesh",6001
"15","Barbados",351
"16","Belarus",153
"17","Belgium",7576
"18","Belize",7
"19","Benin",622
"20","Bermuda",110
"21","Bolivia",3
"22","Bonaire, Saint Eustatius and Saba",12
"23","Bosnia-Herzegovina",63
"24","Botswana",23460
"25","Brazil",4320
"26","Brunei Darussalam",41
"27","Bulgaria",559
"28","Burkina Faso",754
"29","Burundi",830
"30","Cambodia",139
"31","Cameroon",2252
"32","Canada",10478
"33","Cape Verde",2
"34","Cayman Islands",281
"35","Central African Rep",145
"36","Chad",372
"37","Chile",139
"38","China",2547
"39","Colombia",222
"40","Comoros",160
"41","Congo (Brazzaville)",973
"42","Congo (Kinshasa)",16451
"43","Costa Rica",528
"44","Cote D'Ivoire",1983
"45","Croatia",577
"46","Cuba",603
"47","Curacao",30
"48","Cyprus",775
"49","Czech Republic",1408
"50","Denmark",5624
"51","Djibouti",122
"52","Dominica",3
"53","Dominican Rep",175
"54","Ecuador",77
"55","Egypt",6955
"56","El Salvador",9
"57","Equatorial Guinea",119
"58","Eritrea",370
"59","Estonia",338
"60","Ethiopia",18224
"61","Faroe Islands",1
"62","Fiji",26
"63","Finland",1265
"64","France",20829
"65","Gabon",1385
"66","Gambia",39
"67","Georgia",355
"68","Germany",47379
"69","Ghana",12765
"70","Gibraltar",56
"71","Greece",1799
"72","Grenada",9
"73","Guadeloupe",2
"74","Guatemala",10
"75","Guinea",1050
"76","Guinea-Bissau",118
"77","Guyana",26
"78","Honduras",13
"79","Hong Kong (SAR)",260
"80","Hungary",772
"81","Iceland",135
"82","India",18220
"83","Indonesia",1043
"84","Iran",445
"85","Iraq",1059
"86","Ireland",9948
"87","Isle of Man",119
"88","Israel",5704
"89","Italy",5609
"90","Jamaica",74
"91","Japan",1447
"92","Jersey",211
"93","Jordan",466
"94","Kazakhstan",157
"95","Kenya",26045
"96","Korea (South)",1700
"97","Kuwait",226
"98","Kyrgyzstan",26
"99","Laos",6
"100","Latvia",228
"101","Lebanon",676
"102","Lesotho",3625
"103","Liberia",512
"104","Lithuania",391
"105","Luxembourg",877
"106","Macao (SAR)",1
"107","Macedonia",48
"108","Madagascar",194
"109","Malawi",20672
"110","Malaysia",751
"111","Maldives",4032
"112","Mali",1086
"113","Malta",296
"114","Martinique",6
"115","Mauritania",41
"116","Mauritius",15224
"117","Mayotte",2
"118","Mexico",2153
"119","Moldova",40
"120","Mongolia",114
"121","Montenegro",106
"122","Morocco",726
"123","Mozambique",25093
"124","Myanmar",6
"125","Namibia",42138
"126","Nepal",167
"127","Netherlands",31702
"128","New Zealand",1822
"129","Nicaragua",14
"130","Niger",327
"131","Nigeria",28436
"132","Norway",2147
"133","Oman",1054
"134","Pakistan",15821
"135","Panama",586
"136","Papua New Guinea",85
"137","Paraguay",27
"138","Peru",238
"139","Philippines",3813
"140","Poland",2252
"141","Portugal",8277
"142","Puerto Rico",280
"143","Qatar",5302
"144","Reunion",98
"145","Romania",805
"146","Russia",6120
"147","Rwanda",4673
"148","Sao Tome-Principe",129
"149","Saudi Arabia",4416
"150","Senegal",1745
"151","Serbia",477
"152","Seychelles",5556
"153","Sierra Leone",730
"154","Singapore",2080
"155","Slovakia",1
"156","Slovenia",88
"157","Somalia",1131
"158","South Sudan",459
"159","Spain",7620
"160","Sri Lanka",597
"161","St Barthelemy",7
"162","St Helena",8
"163","St Kitts-Nevis",6
"164","St Lucia",16
"165","St Maarten (Dutch Part)",302
"166","St Vincent-Grenad",2
"167","Sudan",753
"168","Suriname",71
"169","Swaziland",3677
"170","Sweden",4373
"171","Switzerland",16873
"172","Taiwan",945
"173","Tajikistan",21
"174","Tanzania",19717
"175","Thailand",2898
"176","Togo",303
"177","Trinidad-Tobago",146
"178","Tunisia",585
"179","Turkey",8540
"180","Turks-Caicos",3
"181","Uganda",9498
"182","Ukraine",2497
"183","United Arab Emirates",38065
"184","United Kingdom",108349
"185","United States",62247
"186","Uruguay",333
"187","Uzbekistan",30
"188","Viet Nam",256
"189","Virgin Islands (GB)",9
"190","Virgin Islands (US)",32
"191","Zambia",34803
"192","Zimbabwe",99715
