strain	region	country
Japan/IC-1308/2021	Asia	Japan
Japan/IC-1309/2021	Asia	Japan
Albania/210901064/2021	Europe	Albania
Albania/210901063/2021	Europe	Albania
Albania/210901061/2021	Europe	Albania
Albania/210901059/2021	Europe	Albania
Albania/210901051/2021	Europe	Albania
Albania/210901048/2021	Europe	Albania
Albania/210901050/2021	Europe	Albania
Albania/210901068/2021	Europe	Albania
Albania/210901070/2021	Europe	Albania
Albania/210901062/2021	Europe	Albania
Albania/210901072/2021	Europe	Albania
Albania/210901076/2021	Europe	Albania
Albania/210901075/2021	Europe	Albania
Albania/211060667/2021	Europe	Albania
Argentina/INEI104129/2021	South America	Argentina
Argentina/INEI104323/2021	South America	Argentina
Argentina/INEI103286/2021	South America	Argentina
Argentina/INEI104510/2021	South America	Argentina
Argentina/INEI104496/2021	South America	Argentina
Argentina/INEI104493/2021	South America	Argentina
Argentina/INEI104491/2021	South America	Argentina
Argentina/INEI104820/2021	South America	Argentina
Argentina/INEI104518/2021	South America	Argentina
Argentina/INEI104528/2021	South America	Argentina
Argentina/INEI104716/2021	South America	Argentina
Argentina/INEI104714/2021	South America	Argentina
Argentina/INEI104698/2021	South America	Argentina
Argentina/INEI104692/2021	South America	Argentina
Argentina/INEI104593/2021	South America	Argentina
Argentina/INEI104652/2021	South America	Argentina
Argentina/INEI104661/2021	South America	Argentina
Argentina/INEI104662/2021	South America	Argentina
Argentina/INEI104666/2021	South America	Argentina
Argentina/INEI104527/2021	South America	Argentina
Argentina/INEI104751/2021	South America	Argentina
Argentina/INEI103290/2021	South America	Argentina
Argentina/INEI104549/2021	South America	Argentina
Argentina/INEI104553/2021	South America	Argentina
Argentina/INEI104580/2021	South America	Argentina
Argentina/INEI104808/2021	South America	Argentina
Argentina/INEI104340/2021	South America	Argentina
Argentina/INEI104342/2021	South America	Argentina
Argentina/INEI104287/2021	South America	Argentina
Argentina/INEI102294/2021	South America	Argentina
Argentina/INEI103281/2021	South America	Argentina
Argentina/INEI104053/2021	South America	Argentina
Argentina/INEI103418/2021	South America	Argentina
Argentina/INEI103362/2021	South America	Argentina
Argentina/INEI103267/2021	South America	Argentina
Argentina/INEI104091/2021	South America	Argentina
Argentina/INEI104297/2021	South America	Argentina
Argentina/INEI104339/2021	South America	Argentina
Argentina/PAIS-A0501/2021	South America	Argentina
Argentina/INEI104243/2021	South America	Argentina
Argentina/INEI104269/2021	South America	Argentina
Argentina/INEI104240/2021	South America	Argentina
Argentina/INEI103046/2021	South America	Argentina
Argentina/INEI104253/2021	South America	Argentina
Argentina/INEI104410/2021	South America	Argentina
Argentina/INEI104389/2021	South America	Argentina
Argentina/INEI103794/2021	South America	Argentina
Argentina/INEI103832/2021	South America	Argentina
Argentina/INEI104387/2021	South America	Argentina
Argentina/INEI104799/2021	South America	Argentina
Argentina/INEI103356/2021	South America	Argentina
Argentina/INEI103995/2021	South America	Argentina
Argentina/INEI104002/2021	South America	Argentina
Argentina/INEI103420/2021	South America	Argentina
Argentina/INEI104003/2021	South America	Argentina
Argentina/INEI104086/2021	South America	Argentina
Argentina/INEI104436/2021	South America	Argentina
Argentina/PAIS-A0500/2021	South America	Argentina
Argentina/INEI104533/2021	South America	Argentina
Argentina/PAIS-A0515/2021	South America	Argentina
Argentina/PAIS-E0223/2021	South America	Argentina
Argentina/PAIS-E0224/2021	South America	Argentina
Argentina/PAIS-E0201/2021	South America	Argentina
Argentina/PAIS-A0516/2021	South America	Argentina
Argentina/INEI104776/2021	South America	Argentina
Argentina/PAIS-A0518/2021	South America	Argentina
Argentina/PAIS-A0502/2021	South America	Argentina
Argentina/PAIS-A0513/2021	South America	Argentina
Argentina/PAIS-A0470/2021	South America	Argentina
Argentina/PAIS-A0533/2021	South America	Argentina
Argentina/PAIS-A0537/2021	South America	Argentina
Argentina/PAIS-A0541/2021	South America	Argentina
Argentina/PAIS-A0545/2021	South America	Argentina
Argentina/PAIS-A0554/2021	South America	Argentina
Argentina/PAIS-G0312/2021	South America	Argentina
Argentina/PAIS-G0324/2021	South America	Argentina
Argentina/PAIS-A0551/2021	South America	Argentina
Argentina/PAIS-A0548/2021	South America	Argentina
Argentina/PAIS-A0532/2021	South America	Argentina
Argentina/PAIS-A0549/2021	South America	Argentina
Argentina/PAIS-A0555/2021	South America	Argentina
Argentina/PAIS-G0207/2021	South America	Argentina
Argentina/PAIS-G0206/2021	South America	Argentina
Argentina/PAIS-A0523/2021	South America	Argentina
Argentina/PAIS-G0205/2021	South America	Argentina
Argentina/PAIS-G0204/2021	South America	Argentina
Argentina/PAIS-A0529/2021	South America	Argentina
Argentina/PAIS-A0528/2021	South America	Argentina
Argentina/PAIS-A0526/2021	South America	Argentina
Argentina/PAIS-E0221/2021	South America	Argentina
Argentina/PAIS-E0246/2021	South America	Argentina
Argentina/INEI103292/2021	South America	Argentina
Argentina/PAIS-E0243/2021	South America	Argentina
Argentina/INEI104767/2021	South America	Argentina
Argentina/INEIINBIRS-14/2021	South America	Argentina
Argentina/INEIINBIRS-41/2021	South America	Argentina
Austria/CeMM5786/2021	Europe	Austria
Austria/CeMM4433/2021	Europe	Austria
Austria/CeMM4365/2021	Europe	Austria
Austria/CeMM8062/2021	Europe	Austria
Austria/CeMM8076/2021	Europe	Austria
Austria/CeMM6015/2021	Europe	Austria
Austria/CeMM4993/2021	Europe	Austria
Austria/CeMM5984/2021	Europe	Austria
Austria/CeMM5338/2021	Europe	Austria
Austria/CeMM5334/2021	Europe	Austria
Austria/CeMM5998/2021	Europe	Austria
Austria/CeMM8011/2021	Europe	Austria
Austria/CeMM7868/2021	Europe	Austria
Austria/CeMM7954/2021	Europe	Austria
Austria/CeMM8221/2021	Europe	Austria
Austria/CeMM8265/2021	Europe	Austria
Austria/CeMM4417/2021	Europe	Austria
Austria/CeMM7957/2021	Europe	Austria
Austria/CeMM8253/2021	Europe	Austria
Austria/CeMM7961/2021	Europe	Austria
Austria/CeMM5994/2021	Europe	Austria
Austria/CeMM4441/2021	Europe	Austria
Austria/CeMM8036/2021	Europe	Austria
Austria/CeMM6077/2021	Europe	Austria
Austria/CeMM2311/2021	Europe	Austria
Austria/MUW_1379222/2021	Europe	Austria
env/Austria/CeMM8154/2021	Europe	Austria
Austria/CeMM5268/2021	Europe	Austria
env/Austria/CeMM8156/2021	Europe	Austria
Austria/CeMM5900/2021	Europe	Austria
Austria/CeMM5977/2021	Europe	Austria
Austria/CeMM5314/2021	Europe	Austria
Austria/CeMM4755/2021	Europe	Austria
env/Austria/CeMM8201/2021	Europe	Austria
env/Austria/CeMM8208/2021	Europe	Austria
env/Austria/CeMM8197/2021	Europe	Austria
