strain	region	country
Argentina/INEI108964/2021	South America	Argentina
Argentina/INEI108340/2021	South America	Argentina
Argentina/INEI110568/2021	South America	Argentina
Argentina/INEI108654/2021	South America	Argentina
Argentina/INEI107473/2021	South America	Argentina
Argentina/INEI108283/2021	South America	Argentina
Argentina/INEI108248/2021	South America	Argentina
Argentina/INEI109441/2021	South America	Argentina
Argentina/PAIS-A1060/2021	South America	Argentina
Argentina/INEI109524/2021	South America	Argentina
Argentina/INEI109659/2021	South America	Argentina
Argentina/INEI110233/2021	South America	Argentina
Argentina/INEI109680/2021	South America	Argentina
Argentina/INEI107924/2021	South America	Argentina
Argentina/INEI109757/2021	South America	Argentina
Argentina/INEI112599/2021	South America	Argentina
Argentina/INEI112597/2021	South America	Argentina
Argentina/INEI112518/2021	South America	Argentina
Argentina/INEI113236/2021	South America	Argentina
Argentina/INEI113272/2021	South America	Argentina
Argentina/INEI113211/2021	South America	Argentina
Argentina/INEI110689/2021	South America	Argentina
Argentina/INEI108913/2021	South America	Argentina
Argentina/INEI113430/2021	South America	Argentina
Argentina/PAIS-F0327/2021	South America	Argentina
Argentina/PAIS-F0328/2021	South America	Argentina
Argentina/PAIS-G0328/2021	South America	Argentina
Argentina/INEI111398/2021	South America	Argentina
Argentina/INEI108660/2021	South America	Argentina
Argentina/INEI106971/2021	South America	Argentina
Argentina/INEI108652/2021	South America	Argentina
Argentina/INEI108197/2021	South America	Argentina
Argentina/PAIS-F0287/2021	South America	Argentina
Argentina/PAIS-F0270/2021	South America	Argentina
Argentina/INEI111458/2021	South America	Argentina
Argentina/PAIS-F0293/2021	South America	Argentina
Argentina/PAIS-A1129/2021	South America	Argentina
Argentina/INEI112761/2021	South America	Argentina
Argentina/INEI111354/2021	South America	Argentina
Argentina/PAIS-F0303/2021	South America	Argentina
Argentina/INEI111237/2021	South America	Argentina
Argentina/PAIS-E0551/2021	South America	Argentina
Argentina/INEI107245/2021	South America	Argentina
Argentina/INEI106973/2021	South America	Argentina
Argentina/INEI108076/2021	South America	Argentina
Argentina/INEI111106/2021	South America	Argentina
Argentina/PAIS-F0313/2021	South America	Argentina
Argentina/PAIS-F0329/2021	South America	Argentina
Argentina/PAIS-F0306/2021	South America	Argentina
Argentina/PAIS-A1128/2021	South America	Argentina
Argentina/INEI112432/2021	South America	Argentina
Argentina/PAIS-G0339/2021	South America	Argentina
Argentina/PAIS-J00129/2021	South America	Argentina
Argentina/PAIS-A1250/2021	South America	Argentina
Australia/NSW-ICPMR-8082/2021	Oceania	Australia
Australia/NSW-ICPMR-9103/2021	Oceania	Australia
Australia/NSW-ICPMR-18132/2021	Oceania	Australia
Australia/NSW-ICPMR-12777/2021	Oceania	Australia
Australia/NSW-ICPMR-13137/2021	Oceania	Australia
Australia/VIC22945/2021	Oceania	Australia
Australia/VIC25569/2021	Oceania	Australia
Australia/NSW-ICPMR-13130/2021	Oceania	Australia
Australia/NSW-ICPMR-17991/2021	Oceania	Australia
Australia/VIC25594/2021	Oceania	Australia
Australia/VIC28387/2021	Oceania	Australia
Australia/NSW-ICPMR-17954/2021	Oceania	Australia
Australia/NSW-ICPMR-8913/2021	Oceania	Australia
Australia/VIC28596/2021	Oceania	Australia
Australia/VIC25566/2021	Oceania	Australia
Australia/WA836/2021	Oceania	Australia
Australia/NSW-ICPMR-9248/2021	Oceania	Australia
Australia/NSW-ICPMR-11718/2021	Oceania	Australia
Australia/QLD2562/2021	Oceania	Australia
Australia/NSW-ICPMR-10015/2021	Oceania	Australia
Australia/NSW-ICPMR-10630/2021	Oceania	Australia
Australia/VIC26193/2021	Oceania	Australia
Australia/VIC26460/2021	Oceania	Australia
Australia/VIC22780/2021	Oceania	Australia
Australia/VIC25864/2021	Oceania	Australia
Australia/VIC26648/2021	Oceania	Australia
Australia/VIC26062/2021	Oceania	Australia
Australia/VIC26344/2021	Oceania	Australia
Australia/NSW-ICPMR-12667/2021	Oceania	Australia
Australia/NSW-ICPMR-12031/2021	Oceania	Australia
Australia/VIC23644/2021	Oceania	Australia
Australia/VIC20918/2021	Oceania	Australia
Australia/NSW-ICPMR-11378/2021	Oceania	Australia
Australia/VIC28626/2021	Oceania	Australia
Australia/VIC28236/2021	Oceania	Australia
Australia/NSW-ICPMR-6305/2021	Oceania	Australia
Australia/NSW-ICPMR-8033/2021	Oceania	Australia
Australia/VIC27706/2021	Oceania	Australia
Australia/NSW-ICPMR-12268/2021	Oceania	Australia
Australia/VIC28248/2021	Oceania	Australia
