strain	region	country
Argentina/INEI105316/2021	South America	Argentina
Argentina/PAIS-A0531/2021	South America	Argentina
Argentina/INEI104724/2021	South America	Argentina
Argentina/INEI104812/2021	South America	Argentina
Argentina/PAIS-J00052/2021	South America	Argentina
Argentina/INEI104814/2021	South America	Argentina
Argentina/PAIS-J00057/2021	South America	Argentina
Argentina/PAIS-J00058/2021	South America	Argentina
Argentina/PAIS-A0556/2021	South America	Argentina
Argentina/INEI104713/2021	South America	Argentina
Argentina/PAIS-E0312/2021	South America	Argentina
Argentina/INEI104599/2021	South America	Argentina
Argentina/PAIS-E0314/2021	South America	Argentina
Argentina/PAIS-E0315/2021	South America	Argentina
Argentina/PAIS-A0886/2021	South America	Argentina
Argentina/PAIS-A0546/2021	South America	Argentina
Argentina/INEI107036/2021	South America	Argentina
Argentina/INEI107068/2021	South America	Argentina
Argentina/INEI107132/2021	South America	Argentina
Argentina/INEI106112/2021	South America	Argentina
Argentina/INEI107072/2021	South America	Argentina
Argentina/INEI106984/2021	South America	Argentina
Argentina/INEI107074/2021	South America	Argentina
Argentina/INEI107085/2021	South America	Argentina
Argentina/INEI104623/2021	South America	Argentina
Argentina/INEI107084/2021	South America	Argentina
Argentina/INEI107155/2021	South America	Argentina
Argentina/INEI107151/2021	South America	Argentina
Argentina/INEI107071/2021	South America	Argentina
Argentina/INEI106694/2021	South America	Argentina
Argentina/INEI105619/2021	South America	Argentina
Argentina/INEI107041/2021	South America	Argentina
Argentina/INEI106679/2021	South America	Argentina
Argentina/PAIS-A0522/2021	South America	Argentina
Argentina/INEI104815/2021	South America	Argentina
Argentina/INEI104668/2021	South America	Argentina
Argentina/PAIS-F0077/2021	South America	Argentina
Argentina/PAIS-A0889/2021	South America	Argentina
Argentina/PAIS-F0085/2021	South America	Argentina
Argentina/PAIS-A0887/2021	South America	Argentina
Argentina/PAIS-E0328/2021	South America	Argentina
Argentina/INEI104665/2021	South America	Argentina
Argentina/PAIS-F0075/2021	South America	Argentina
Argentina/PAIS-E0327/2021	South America	Argentina
Argentina/INEI104694/2021	South America	Argentina
Argentina/PAIS-G0234/2021	South America	Argentina
Argentina/PAIS-G0363/2021	South America	Argentina
Argentina/PAIS-F0129/2021	South America	Argentina
Argentina/PAIS-G0364/2021	South America	Argentina
Argentina/INEI104498/2021	South America	Argentina
Argentina/PAIS-F0080/2021	South America	Argentina
Argentina/INEI107073/2021	South America	Argentina
Argentina/PAIS-F0070/2021	South America	Argentina
Argentina/PAIS-F0091/2021	South America	Argentina
Argentina/INEI104708/2021	South America	Argentina
Argentina/PAIS-E0313/2021	South America	Argentina
Argentina/PAIS-F0061/2021	South America	Argentina
Argentina/PAIS-A0544/2021	South America	Argentina
Argentina/PAIS-F0105/2021	South America	Argentina
Argentina/INEI104550/2021	South America	Argentina
Argentina/INEI104588/2021	South America	Argentina
Argentina/PAIS-G0353/2021	South America	Argentina
Argentina/PAIS-E0307/2021	South America	Argentina
Argentina/PAIS-E0306/2021	South America	Argentina
Argentina/PAIS-E0309/2021	South America	Argentina
Argentina/PAIS-E0308/2021	South America	Argentina
Argentina/INEI104560/2021	South America	Argentina
Argentina/PAIS-E0310/2021	South America	Argentina
Argentina/PAIS-A0540/2021	South America	Argentina
Argentina/INEI107081/2021	South America	Argentina
Argentina/INEI107057/2021	South America	Argentina
Argentina/INEI107047/2021	South America	Argentina
