strain	region	country
SouthKorea/KDCA27839/2022	Asia	South Korea
Argentina/INEI116315/2021	South America	Argentina
Argentina/INEI119270/2022	South America	Argentina
Argentina/INEI119268/2022	South America	Argentina
Argentina/INEI119257/2022	South America	Argentina
Argentina/INEI119238/2022	South America	Argentina
Argentina/INEI119222/2022	South America	Argentina
Argentina/INEI119221/2022	South America	Argentina
Argentina/INEI119220/2022	South America	Argentina
Argentina/INEI119218/2022	South America	Argentina
Argentina/INEI119211/2022	South America	Argentina
Argentina/INEI119198/2022	South America	Argentina
Argentina/INEI119195/2022	South America	Argentina
Argentina/INEI119181/2022	South America	Argentina
Argentina/INEI119180/2022	South America	Argentina
Argentina/INEI119173/2022	South America	Argentina
Argentina/INEI119172/2022	South America	Argentina
Argentina/INEI119315/2022	South America	Argentina
Argentina/INEI119319/2022	South America	Argentina
Argentina/INEI119331/2022	South America	Argentina
Argentina/INEI119344/2022	South America	Argentina
Argentina/INEI119409/2022	South America	Argentina
Argentina/INEI119408/2022	South America	Argentina
Argentina/INEI119406/2022	South America	Argentina
Argentina/INEI119404/2022	South America	Argentina
Argentina/INEI119399/2022	South America	Argentina
Argentina/INEI119397/2022	South America	Argentina
Argentina/INEI119394/2022	South America	Argentina
Argentina/INEI119393/2022	South America	Argentina
Argentina/INEI119391/2022	South America	Argentina
Argentina/INEI119365/2022	South America	Argentina
Argentina/INEI119355/2022	South America	Argentina
Argentina/INEI119354/2022	South America	Argentina
Argentina/INEI119353/2022	South America	Argentina
Argentina/INEI119352/2022	South America	Argentina
Argentina/INEI119349/2022	South America	Argentina
Argentina/INEI119165/2022	South America	Argentina
Argentina/INEI119147/2022	South America	Argentina
Argentina/INEI119142/2022	South America	Argentina
Argentina/INEI119141/2022	South America	Argentina
Argentina/INEI118952/2022	South America	Argentina
Argentina/INEI118951/2022	South America	Argentina
Argentina/INEI118949/2022	South America	Argentina
Argentina/INEI118927/2022	South America	Argentina
Argentina/INEI118919/2022	South America	Argentina
Argentina/INEI118918/2022	South America	Argentina
Argentina/INEI118917/2022	South America	Argentina
Argentina/INEI118913/2022	South America	Argentina
Argentina/INEI118910/2022	South America	Argentina
Argentina/INEI118901/2021	South America	Argentina
Argentina/INEI118891/2022	South America	Argentina
Argentina/INEI118884/2022	South America	Argentina
Argentina/INEI118882/2022	South America	Argentina
Argentina/INEI118880/2022	South America	Argentina
Argentina/INEI118879/2022	South America	Argentina
Argentina/INEI118965/2022	South America	Argentina
Argentina/INEI119415/2022	South America	Argentina
Argentina/INEI118984/2022	South America	Argentina
Argentina/INEI118990/2022	South America	Argentina
Argentina/INEI119138/2022	South America	Argentina
Argentina/INEI119136/2022	South America	Argentina
Argentina/INEI119103/2022	South America	Argentina
Argentina/INEI119100/2022	South America	Argentina
Argentina/INEI119093/2022	South America	Argentina
Argentina/INEI119089/2022	South America	Argentina
Argentina/INEI119088/2022	South America	Argentina
Argentina/INEI119080/2022	South America	Argentina
Argentina/INEI119051/2022	South America	Argentina
Argentina/INEI119050/2022	South America	Argentina
Japan/IC-3342/2022	Asia	Japan
Argentina/INEI119020/2022	South America	Argentina
Argentina/INEI119018/2022	South America	Argentina
Argentina/INEI119007/2022	South America	Argentina
Argentina/INEI118992/2022	South America	Argentina
Argentina/INEI118987/2022	South America	Argentina
Argentina/INEI119416/2022	South America	Argentina
Argentina/INEI119421/2022	South America	Argentina
Argentina/INEI119456/2022	South America	Argentina
Argentina/PAIS-G0826/2022	South America	Argentina
Argentina/PAIS-G0824/2022	South America	Argentina
