strain	region	country																				
SouthKorea/KDCA27839/2022	Asia	South Korea																				
Argentina/INEI116285/2021	South America	Argentina																				
Argentina/INEI119244/2022	South America	Argentina																				
Argentina/INEI119241/2022	South America	Argentina																				
Argentina/INEI119238/2022	South America	Argentina																				
Argentina/INEI119228/2022	South America	Argentina																				
Argentina/INEI119222/2022	South America	Argentina																				
Argentina/INEI119221/2022	South America	Argentina																				
Argentina/INEI119220/2022	South America	Argentina																				
Argentina/INEI119218/2022	South America	Argentina																				
Argentina/INEI119211/2022	South America	Argentina																				
Argentina/INEI119200/2022	South America	Argentina																				
Argentina/INEI119198/2022	South America	Argentina																				
Argentina/INEI119195/2022	South America	Argentina																				
Argentina/INEI119184/2022	South America	Argentina																				
Argentina/INEI119180/2022	South America	Argentina																				
Argentina/INEI119179/2022	South America	Argentina																				
Argentina/INEI119260/2022	South America	Argentina																				
Argentina/INEI119309/2022	South America	Argentina																				
Argentina/INEI119310/2022	South America	Argentina																				
Argentina/INEI119315/2022	South America	Argentina																				
Argentina/INEI119412/2022	South America	Argentina																				
Argentina/INEI119406/2022	South America	Argentina																				
Argentina/INEI119404/2022	South America	Argentina																				
Argentina/INEI119399/2022	South America	Argentina																				
Argentina/INEI119397/2022	South America	Argentina																				
Argentina/INEI119385/2022	South America	Argentina																				
Argentina/INEI119361/2022	South America	Argentina																				
Argentina/INEI119354/2022	South America	Argentina																				
Argentina/INEI119352/2022	South America	Argentina																				
Argentina/INEI119349/2022	South America	Argentina																				
Argentina/INEI119344/2022	South America	Argentina																				
Argentina/INEI119331/2022	South America	Argentina																				
Argentina/INEI119328/2022	South America	Argentina																				
Argentina/INEI119324/2022	South America	Argentina																				
Argentina/INEI119319/2022	South America	Argentina																				
Argentina/INEI119173/2022	South America	Argentina																				
Argentina/INEI119172/2022	South America	Argentina																				
Argentina/INEI119165/2022	South America	Argentina																				
Argentina/INEI119147/2022	South America	Argentina																				
Argentina/INEI118952/2022	South America	Argentina																				
Argentina/INEI118951/2022	South America	Argentina																				
Argentina/INEI118949/2022	South America	Argentina																				
Argentina/INEI118927/2022	South America	Argentina																				
Argentina/INEI118918/2022	South America	Argentina																				
Argentina/INEI118917/2022	South America	Argentina																				
Argentina/INEI118906/2021	South America	Argentina																				
Argentina/INEI118884/2022	South America	Argentina																				
Argentina/INEI118882/2022	South America	Argentina																				
Argentina/INEI118880/2022	South America	Argentina																				
Argentina/INEI118879/2022	South America	Argentina																				
Argentina/INEI118875/2022	South America	Argentina																				
Argentina/INEI118871/2022	South America	Argentina																				
Argentina/INEI118867/2022	South America	Argentina																				
Argentina/INEI118840/2022	South America	Argentina																				
Argentina/INEI118956/2022	South America	Argentina																				
Argentina/INEI119415/2022	South America	Argentina																				
Argentina/INEI118961/2022	South America	Argentina																				
Argentina/INEI118987/2022	South America	Argentina																				
Argentina/INEI119142/2022	South America	Argentina																				
Argentina/INEI119138/2022	South America	Argentina																				
Argentina/INEI119118/2022	South America	Argentina																				
Argentina/INEI119103/2022	South America	Argentina																				
Argentina/INEI119100/2022	South America	Argentina																				
Argentina/INEI119093/2022	South America	Argentina																				
Argentina/INEI119089/2022	South America	Argentina																				
Argentina/INEI119088/2022	South America	Argentina																				
Argentina/INEI119080/2022	South America	Argentina																				
Argentina/INEI119077/2022	South America	Argentina																				
Argentina/INEI119060/2022	South America	Argentina																				
Argentina/INEI119018/2022	South America	Argentina																				
Argentina/INEI119007/2022	South America	Argentina																				
Argentina/INEI118992/2022	South America	Argentina																				
Argentina/INEI118990/2022	South America	Argentina																				
Argentina/INEI118984/2022	South America	Argentina																				
Argentina/INEI119421/2022	South America	Argentina																				
Argentina/INEI119443/2022	South America	Argentina																				
Argentina/INEI119456/2022	South America	Argentina																				
Argentina/PAIS-G0864/2022	South America	Argentina																				
Argentina/PAIS-G0861/2022	South America	Argentina																				
Argentina/PAIS-G0855/2022	South America	Argentina																				
Argentina/PAIS-G0847/2022	South America	Argentina																				
Argentina/PAIS-G0842/2022	South America	Argentina																				
Argentina/PAIS-G0826/2022	South America	Argentina																				
Argentina/PAIS-G0824/2022	South America	Argentina																				
Argentina/PAIS-G0820/2022	South America	Argentina																				
Argentina/PAIS-G0813/2022	South America	Argentina																				
Argentina/PAIS-G0810/2022	South America	Argentina																				
Argentina/PAIS-G0777/2022	South America	Argentina																				
Argentina/PAIS-G0776/2022	South America	Argentina																				
Argentina/PAIS-G0743/2021	South America	Argentina																				
Argentina/PAIS-G0735/2021	South America	Argentina																				
Argentina/PAIS-G0701/2021	South America	Argentina																				
Argentina/PAIS-G0869/2022	South America	Argentina																				
Argentina/PAIS-G0622/2021	South America	Argentina																				
Argentina/PAIS-G0870/2022	South America	Argentina																				
Argentina/PAIS-G0879/2022	South America	Argentina																				
Japan/IC-3707/2022	Asia	Japan																				
Japan/IC-3942/2022	Asia	Japan																				
Japan/IC-4567/2022	Asia	Japan																				
SouthKorea/KDCA27849/2022	Asia	South Korea																				
SouthKorea/KDCA27850/2022	Asia	South Korea																				
Argentina/PAIS-J00164/2022	South America	Argentina																				
Argentina/PAIS-J00163/2022	South America	Argentina																				
Argentina/PAIS-J00162/2022	South America	Argentina																				
Argentina/PAIS-J00161/2022	South America	Argentina																				
Argentina/PAIS-J00159/2022	South America	Argentina																				
Argentina/PAIS-J00158/2022	South America	Argentina																				
Argentina/PAIS-J00154/2022	South America	Argentina																				
Argentina/PAIS-G0901/2022	South America	Argentina																				
Argentina/PAIS-G0887/2022	South America	Argentina																				
Argentina/PAIS-G0885/2022	South America	Argentina																				
Argentina/PAIS-G0872/2022	South America	Argentina																				
Argentina/PAIS-E0839/2022	South America	Argentina																				
Argentina/PAIS-E0835/2022	South America	Argentina																				
Argentina/PAIS-E0786/2022	South America	Argentina																				
Argentina/INEI119575/2022	South America	Argentina																				
Argentina/INEI119570/2022	South America	Argentina																				
Argentina/INEI119566/2022	South America	Argentina																				
Argentina/INEI119564/2022	South America	Argentina																				
Argentina/INEI119559/2022	South America	Argentina																				
Argentina/INEI119543/2022	South America	Argentina																				
Argentina/INEI119538/2022	South America	Argentina																				
Argentina/INEI119535/2022	South America	Argentina																				
Argentina/INEI119533/2022	South America	Argentina																				
Argentina/INEI119531/2022	South America	Argentina																				
Argentina/INEI119526/2022	South America	Argentina																				
