EventTime	Origin	Destination
2020.56801	UNKNOWN	Italy
2020.61651	Italy	United Kingdom
2020.70235	United Kingdom	India
2020.76895	United Kingdom	Italy
2020.77963	United Kingdom	Germany
2020.78953	United Kingdom	India
2020.79104	United Kingdom	France
2020.80049	UNKNOWN	Italy
2020.80476	United Kingdom	India
2020.81125	United Kingdom	Sweden
2020.81227	United Kingdom	Israel
2020.81706	United Kingdom	India
2020.82334	United Kingdom	Spain
2020.82712	United Kingdom	France
2020.82803	Germany	France
2020.82854	Germany	Slovakia
2020.83018	United Kingdom	Ireland
2020.8312799999999	United Kingdom	Sweden
2020.83843	United Kingdom	Spain
2020.83999	India	France
2020.84421	United Kingdom	Sweden
2020.84968	United Kingdom	Sweden
2020.85334	United Kingdom	USA
2020.85514	United Kingdom	Spain
2020.8563199999999	United Kingdom	Poland
2020.86048	United Kingdom	Iran
2020.86511	United Kingdom	Iraq
2020.86705	United Kingdom	Poland
2020.87096	United Kingdom	India
2020.87467	United Kingdom	USA
2020.87597	United Kingdom	USA
2020.87617	United Kingdom	France
2020.87974	United Kingdom	France
2020.8818899999999	United Kingdom	Iran
2020.88202	United Kingdom	USA
2020.8895	United Kingdom	France
2020.89156	United Kingdom	USA
2020.8919799999999	United Kingdom	Italy
2020.89308	United Kingdom	USA
2020.89393	United Kingdom	Germany
2020.89425	United Kingdom	Netherlands
2020.89633	United Kingdom	USA
2020.89878	United Kingdom	Poland
2020.9004499999999	United Kingdom	Netherlands
2020.90128	United Kingdom	Iraq
2020.90341	United Kingdom	Romania
2020.9059399999999	United Kingdom	Italy
2020.90643	United Kingdom	France
2020.90707	United Kingdom	India
2020.90707	United Kingdom	India
2020.90977	United Kingdom	India
2020.9114	United Kingdom	Spain
2020.91375	United Kingdom	Italy
2020.91676	United Kingdom	Iran
2020.91798	United Kingdom	Japan
2020.91876	Slovakia	Germany
2020.92103	United Kingdom	Iraq
2020.9213399999999	United Kingdom	India
2020.92139	United Kingdom	Turkey
2020.92232	United Kingdom	Bulgaria
2020.92289	United Kingdom	Denmark
2020.92385	United Kingdom	Kazakhstan
2020.92702	United Kingdom	Netherlands
2020.92769	United Kingdom	Brazil
2020.9314	Spain	Poland
2020.93363	United Kingdom	Poland
2020.9337699999999	United Kingdom	Bulgaria
2020.93436	Slovakia	Germany
2020.93438	United Kingdom	Portugal
2020.93631	United Kingdom	Pakistan
2020.93637	United Kingdom	USA
2020.9363799999999	United Kingdom	Israel
