EventTime	Origin	Destination
2020.65752	South Africa	Mozambique
2020.6933199999999	Mozambique	South Africa
2020.7097099999999	South Africa	Mozambique
2020.75658	South Africa	Angola
2020.7916799999998	South Africa	Angola
2020.7997899999998	Mozambique	South Africa
2020.8075099999999	South Africa	Angola
2020.81667	South Africa	Angola
2020.8289699999998	Mozambique	South Africa
2020.8310399999998	Angola	South Africa
2020.83267	South Africa	Angola
2020.84631	South Africa	Angola
2020.8463199999999	South Africa	Angola
2020.8463299999999	Angola	South Africa
2020.8463299999999	Angola	South Africa
2020.8490499999998	Angola	South Africa
2020.85178	Angola	South Africa
2020.85179	Angola	South Africa
2020.8635299999999	South Africa	Philippines
2020.8639999999998	South Africa	Zimbabwe
2020.86626	Mozambique	South Africa
2020.87843	South Africa	Sweden
2020.8810199999998	South Africa	France
2020.8832599999998	South Africa	Bangladesh
2020.8936899999999	Mozambique	South Africa
2020.8994	South Africa	Zimbabwe
2020.90435	South Africa	Zimbabwe
2020.9058499999999	South Africa	Eswatini
2020.9083899999998	South Africa	Mozambique
2020.91048	Zimbabwe	South Africa
2020.91085	South Africa	Zimbabwe
2020.9120799999998	South Africa	Angola
2020.91274	South Africa	Botswana
2020.91529	South Africa	Germany
2020.91816	Zimbabwe	South Africa
2020.92079	South Africa	Malawi
2020.9227999999998	France	Sweden
2020.92365	South Africa	Zambia
2020.9282099999998	South Africa	Zimbabwe
2020.93196	South Africa	Malawi
2020.93823	South Africa	Mozambique
2020.93859	Zimbabwe	South Africa
2020.9425099999999	South Africa	Malawi
2020.94255	South Africa	Botswana
2020.9462199999998	South Africa	Finland
2020.94824	South Africa	Israel
2020.9494399999999	South Africa	Malawi
2020.95042	South Africa	Malawi
2020.95048	South Africa	Botswana
2020.9515299999998	South Africa	Eswatini
2020.9537599999999	South Africa	Malawi
2020.9577	South Africa	USA
2020.9605399999998	South Africa	Mozambique
2020.9610699999998	South Africa	Eswatini
2020.96218	South Africa	USA
2020.9659299999998	South Africa	Germany
2020.9662899999998	South Africa	Turkey
2020.96654	Malawi	South Africa
2020.9665699999998	Zimbabwe	South Africa
2020.96712	Malawi	South Africa
2020.96897	South Africa	Germany
2020.96931	South Africa	France
2020.9694399999998	France	United Kingdom
2020.9713299999999	South Africa	Zimbabwe
2020.97136	South Africa	Qatar
2020.9728	South Africa	Switzerland
2020.9772799999998	Germany	South Africa
2020.97821	USA	South Africa
2020.97904	South Africa	Botswana
2020.97974	Zimbabwe	United Kingdom
2020.98099	South Africa	Kenya
2020.98275	South Africa	Zambia
2020.98293	South Africa	Angola
2020.98451	Malawi	South Africa
2020.9857499999998	South Africa	Sweden
2020.9858299999999	South Africa	Germany
2020.98713	Malawi	South Africa
2020.9871699999999	South Africa	Malawi
2020.98751	South Africa	Malawi
2020.98761	South Africa	France
2020.9876499999998	South Africa	France
2020.9886199999999	South Africa	Zimbabwe
2020.98921	South Africa	Malawi
2020.9895299999998	South Africa	Turkey
2020.99112	South Africa	Mauritius
2020.99128	South Africa	Mozambique
2020.99138	Malawi	South Africa
2020.9917699999999	South Africa	Kenya
2020.99389	USA	South Africa
2020.9943799999999	South Africa	Turkey
2020.99571	South Africa	Zimbabwe
2020.99652	South Africa	Zimbabwe
2020.9966	South Africa	Angola
2020.9969099999998	South Africa	Angola
2020.9970999999998	Mozambique	South Africa
2020.9978199999998	South Africa	Japan
2020.99812	South Africa	Botswana
2020.99824	South Africa	Turkey
2020.9993299999999	South Africa	Angola
2021.0006999999998	South Africa	Austria
2021.0012	South Africa	Mozambique
2021.00135	South Africa	Switzerland
2021.0016999999998	South Africa	Israel
2021.0020599999998	South Africa	Angola
2021.00207	South Africa	United Kingdom
2021.0022299999998	South Africa	United Kingdom
2021.00234	Malawi	Mozambique
2021.00443	South Africa	Zimbabwe
2021.00462	South Africa	Kenya
2021.00479	South Africa	Zimbabwe
2021.00479	South Africa	United Kingdom
2021.0048	South Africa	Zimbabwe
2021.00571	South Africa	Botswana
2021.00625	Malawi	USA
2021.00676	South Africa	Mozambique
2021.00696	South Africa	Germany
2021.00751	South Africa	United Kingdom
2021.0075299999999	South Africa	United Kingdom
2021.00768	South Africa	Zimbabwe
2021.0106799999999	Zambia	United Kingdom
2021.01182	South Africa	Spain
2021.0126799999998	South Africa	France
2021.0129299999999	South Africa	Mozambique
2021.01297	Angola	South Africa
2021.01298	South Africa	Eswatini
2021.01298	South Africa	Zimbabwe
2021.01299	South Africa	Switzerland
2021.013	Zambia	United Kingdom
2021.01397	Zimbabwe	South Africa
2021.0144599999999	South Africa	Turkey
2021.0149299999998	Zimbabwe	United Kingdom
2021.0157299999998	Botswana	South Africa
2021.0157299999998	South Africa	United Kingdom
2021.0157299999998	South Africa	Switzerland
2021.01612	Malawi	Zimbabwe
2021.01657	USA	Sweden
2021.01697	South Africa	Canada
2021.0169799999999	Zambia	France
2021.0172499999999	South Africa	Belgium
2021.0178099999998	Mozambique	South Africa
2021.0184499999998	South Africa	Lesotho
2021.01846	South Africa	Lesotho
2021.01846	South Africa	United Kingdom
2021.01846	South Africa	United Kingdom
2021.01999	Zambia	France
2021.02116	South Africa	Zimbabwe
2021.02117	South Africa	Zimbabwe
2021.02118	South Africa	Zimbabwe
2021.0212099999999	South Africa	Zimbabwe
2021.0225599999999	Mozambique	South Africa
2021.02323	South Africa	Zimbabwe
2021.02368	South Africa	USA
2021.02391	South Africa	United Kingdom
2021.0239199999999	South Africa	Zimbabwe
2021.0239299999998	Mozambique	South Africa
2021.0239399999998	Zimbabwe	South Africa
2021.0239399999998	South Africa	Turkey
2021.02451	South Africa	Germany
2021.02454	South Africa	Mozambique
2021.02633	South Africa	Zimbabwe
2021.0266299999998	South Africa	Finland
2021.02665	South Africa	Zimbabwe
2021.02666	South Africa	United Kingdom
2021.0269099999998	Zimbabwe	South Africa
2021.02794	South Africa	Mozambique
2021.02939	South Africa	Botswana
2021.02992	South Africa	Mozambique
2021.03012	South Africa	Equatorial Guinea
2021.0302	South Africa	USA
2021.03207	Mozambique	South Africa
2021.0321099999999	South Africa	Germany
2021.0321099999999	United Kingdom	Zambia
2021.0321199999998	Zambia	United Kingdom
2021.0323899999999	South Africa	Ireland
2021.03244	South Africa	Mozambique
2021.0324899999998	Zambia	Turkey
2021.03254	South Africa	Zambia
2021.03362	Germany	South Africa
2021.03397	France	India
2021.03405	France	Netherlands
2021.03422	South Africa	Germany
2021.0342699999999	South Africa	United Arab Emirates
2021.0343599999999	Zimbabwe	United Kingdom
2021.03449	South Africa	Turkey
2021.0347299999999	South Africa	Zimbabwe
2021.03479	South Africa	Malawi
2021.0348299999998	South Africa	Malawi
2021.0348399999998	South Africa	Netherlands
2021.03486	South Africa	Zimbabwe
2021.03487	South Africa	United Kingdom
2021.03543	South Africa	Zimbabwe
2021.0357099999999	South Africa	Israel
2021.0357999999999	South Africa	Mozambique
2021.03757	South Africa	Zambia
2021.03758	South Africa	United Kingdom
2021.03759	South Africa	France
2021.0376899999999	South Africa	Mozambique
2021.0381699999998	South Africa	Malawi
2021.03829	South Africa	USA
2021.0383399999998	South Africa	Spain
2021.03921	South Africa	Malawi
2021.03927	South Africa	Zimbabwe
2021.0402299999998	Mozambique	South Africa
2021.0403	South Africa	Malawi
2021.0403	South Africa	Malawi
2021.0403099999999	South Africa	Spain
