EventTime	Origin	Destination
2020.6856699999998	UNKNOWN	India
2020.6950299999999	India	Russia
2020.7337599999998	India	United Kingdom
2020.88961	India	Germany
2020.96955	Germany	Spain
2021.02153	India	USA
2021.02454	United Kingdom	Slovakia
2021.02693	India	France
2021.09211	India	South Africa
2021.09905	Russia	Turkey
2021.10811	Russia	India
2021.10946	Spain	Slovakia
2021.12287	India	USA
2021.1289199999999	India	Iran
2021.1295499999999	India	France
2021.1325	India	Turkey
2021.1716199999998	India	USA
2021.1793	India	Thailand
2021.18617	France	Turkey
2021.18618	Russia	Turkey
2021.18895	South Africa	Pakistan
2021.20535	India	Italy
2021.20977	India	USA
2021.21518	India	South Africa
2021.21687	India	Bangladesh
2021.22183	India	South Africa
2021.2231	India	USA
2021.22413	India	Uganda
2021.22973	India	Pakistan
2021.2304199999999	India	United Kingdom
2021.2352799999999	India	Nepal
2021.23892	India	Malaysia
2021.24128	India	Malaysia
2021.24598	India	Russia
2021.24769	India	Russia
2021.25385	South Africa	United Kingdom
2021.25693	India	Turkey
2021.25805	France	Italy
2021.25855	India	Indonesia
2021.2633899999998	South Africa	India
2021.2660799999999	India	Bangladesh
2021.2670799999999	India	USA
2021.27124	India	Turkey
2021.27279	India	Mexico
2021.27916	India	Israel
2021.27929	India	Spain
2021.27934	India	United Kingdom
2021.2808499999999	United Kingdom	Italy
2021.28172	France	Spain
2021.28384	India	USA
2021.28628	India	Pakistan
2021.28799	India	Pakistan
2021.28864	USA	Canada
2021.28879	India	United Kingdom
2021.291	Spain	Portugal
2021.29386	India	Malaysia
2021.29798	India	USA
2021.29962	India	Italy
2021.3039999999999	Russia	Turkey
2021.3039999999999	Pakistan	India
2021.30414	Spain	United Kingdom
2021.30449	India	Japan
2021.3081399999999	India	Iran
2021.30826	India	United Kingdom
2021.30899	USA	Mexico
2021.30919	United Kingdom	France
2021.30948	India	Singapore
2021.31088	India	Russia
2021.31161	France	Spain
2021.31162	India	United Kingdom
2021.3132	Nepal	Malaysia
2021.31495	India	Singapore
2021.31595	Russia	Pakistan
2021.31789	India	South Africa
2021.32316	India	Singapore
2021.32317	India	Singapore
2021.32398	India	Bangladesh
2021.32437	India	Russia
2021.32555	Russia	Germany
2021.32586	India	Italy
2021.32803	Iran	Germany
2021.32864	India	Indonesia
2021.32866	India	Italy
2021.32866	Pakistan	Iran
2021.33141	India	Japan
2021.33413	Russia	India
2021.33518	Indonesia	Malaysia
2021.3357799999999	India	Japan
2021.33688	India	Singapore
2021.33815	India	United Kingdom
2021.3402999999998	France	Spain
2021.34088	Russia	Switzerland
2021.34187	Turkey	Iran
2021.3422699999999	India	Malaysia
2021.34235	India	Japan
2021.3423599999999	India	Japan
2021.3423699999998	India	South Africa
2021.3423699999998	India	Japan
2021.34238	India	Japan
2021.3426399999998	France	Spain
2021.34384	Canada	USA
2021.34391	USA	Mexico
2021.34494	India	Russia
2021.34511	India	Singapore
2021.3455199999999	India	South Africa
2021.34783	India	Singapore
2021.34811	India	Indonesia
2021.3482099999999	India	South Africa
2021.3515	India	USA
2021.3528	India	Zambia
2021.35331	India	Thailand
2021.35332	India	Nepal
