EventTime	Origin	Destination
2020.69371	UNKNOWN	Brazil
2020.70804	UNKNOWN	Brazil
2021.35864	Brazil	USA
2021.34493	Brazil	Bolivia
2021.18431	Brazil	Argentina
2021.22439	Argentina	Bolivia
2021.22439	Argentina	Bolivia
2021.3011000000001	Brazil	Argentina
2021.3339700000001	Brazil	USA
2021.28191	Brazil	USA
2021.30109	Brazil	Chile
2021.18054	Brazil	Peru
2021.5750600000001	Brazil	Mexico
2021.14767	Brazil	Belgium
2021.2052	Brazil	Peru
2021.2189	Brazil	Chile
2021.2189	Chile	Angola
2021.15147	Brazil	Mexico
2021.58603	Mexico	USA
2021.52027	Brazil	Chile
2021.4189000000001	Brazil	Chile
2021.2627300000001	Brazil	Italy
2021.45452	Brazil	Italy
2021.32027	Brazil	Colombia
2021.51204	Brazil	Colombia
2021.2106800000001	Brazil	Uruguay
2020.97271	Brazil	Peru
2021.6024300000001	Brazil	Peru
2021.1339500000001	Brazil	Italy
2021.01567	Brazil	Italy
2021.4462700000001	Italy	Chile
2021.47368	Brazil	Chile
2021.27916	Brazil	Uruguay
2021.16297	Brazil	USA
2021.45176	Brazil	Chile
2021.20245	Brazil	Peru
2021.47642	Brazil	Argentina
2021.16958	Brazil	Uruguay
2021.1969900000001	Brazil	Argentina
2021.34767	Brazil	Argentina
2021.18496	Brazil	Argentina
2021.38327	Argentina	Paraguay
2021.02548	Brazil	Paraguay
2021.4325900000001	Paraguay	Chile
2021.19971	Paraguay	Argentina
2021.23807	Paraguay	Argentina
2021.43533	Paraguay	Brazil
2021.37779	Paraguay	Chile
2021.42163	Paraguay	Germany
2021.27094	Paraguay	Uruguay
2021.49286	Paraguay	Argentina
2021.2607	Paraguay	Brazil
2021.44354	Brazil	Chile
2021.54765	Brazil	Chile
2021.03847	Brazil	Turkey
2021.34492	Turkey	France
2021.2764300000001	Brazil	USA
2021.6134200000001	Brazil	Colombia
2021.03451	Brazil	Chile
2021.33396	Chile	Italy
2021.31752	Chile	Netherlands
2021.46156	Chile	Brazil
2021.30508	Brazil	Chile
2021.32025	Brazil	Chile
2021.19971	Brazil	France
2021.14442	Brazil	Chile
2021.26546	Chile	Peru
2021.25725	Chile	Brazil
2021.03545	Brazil	Italy
2021.24864	Brazil	USA
2021.40794	Brazil	Chile
2021.51204	Brazil	Chile
2021.29835	Brazil	Chile
2021.33338	Brazil	Colombia
2021.16685	Brazil	Argentina
2021.18333	Brazil	Argentina
2021.19424	Argentina	Uruguay
2021.1449400000001	Brazil	Argentina
2021.18878	Brazil	Uruguay
2021.3333400000001	Brazil	Peru
2021.1773	Brazil	USA
2021.27644	Brazil	USA
2021.56685	Brazil	Chile
2021.49012	Brazil	Ecuador
2021.24703	Brazil	Chile
2021.18877	Brazil	Argentina
2021.19974	Brazil	Peru
2021.31207	Brazil	Chile
2021.3696	Brazil	Chile
2021.16411	Brazil	Netherlands
2021.1738500000001	Brazil	Spain
2021.2956	Spain	Portugal
2021.07094	Brazil	Argentina
2021.11751	Brazil	Japan
2021.34489	Brazil	Japan
2021.21614	Brazil	Japan
2021.34218	Brazil	Colombia
2021.31908	Brazil	Italy
2021.3723300000001	Brazil	Chile
2021.25167	Brazil	Uruguay
2021.2435500000001	Brazil	USA
2021.04902	Brazil	Colombia
2021.36409	Brazil	Belgium
2021.41613	Brazil	Peru
2021.31476	Brazil	Colombia
2021.28737	Brazil	Colombia
2021.52846	Brazil	Suriname
2021.38601	Brazil	Belgium
2021.41068	Brazil	Paraguay
2021.44082	Brazil	Italy
2021.5421800000001	Brazil	Chile
2021.39724	Brazil	Italy
2021.36685	Brazil	Argentina
2021.4463	Brazil	Japan
2021.44354	Brazil	Colombia
2021.39149	Brazil	Italy
2021.23259	Brazil	Belgium
2021.37505	Brazil	Argentina
2021.31752	Brazil	Spain
2021.323	Brazil	USA
2021.54491	Brazil	Peru
2021.01096	Brazil	Chile
2021.05449	Chile	Venezuela
2021.15626	Chile	USA
2021.22162	Chile	USA
2021.1399900000001	Chile	Colombia
2021.43532	Colombia	Ecuador
2021.56957	Colombia	Ecuador
2021.24647	Chile	Peru
2021.27916	Chile	Argentina
2021.2901100000001	Chile	Venezuela
2021.66819	Chile	Brazil
2021.22168	Chile	Ecuador
2021.33578	Ecuador	Chile
2021.66272	Chile	Brazil
2021.3951	Chile	Colombia
2021.59696	Colombia	Peru
2021.48111	Colombia	Ecuador
2021.46819	Colombia	USA
2021.39696	Brazil	Chile
2021.13754	Brazil	Colombia
2021.36134	Colombia	Venezuela
2021.20692	Colombia	Chile
2021.45175	Chile	Ecuador
2021.27641	Brazil	Colombia
2021.35276	Brazil	Colombia
2021.53394	Colombia	Peru
2021.07923	Brazil	USA
2021.36409	USA	Argentina
2021.2872300000001	USA	Colombia
2021.36682	Colombia	USA
2021.24858	USA	Colombia
2021.44901	Colombia	USA
2021.08873	Brazil	USA
2021.2408	USA	Spain
2021.52573	Spain	Chile
2021.29559	USA	Venezuela
2021.19422	USA	Venezuela
2021.23465	USA	Colombia
2021.16204	USA	Colombia
2021.36956	Colombia	Chile
2021.35312	Colombia	Venezuela
2021.5120200000001	Colombia	Chile
2021.5695600000001	Colombia	Peru
2021.33942	Colombia	Venezuela
2021.18684	USA	Argentina
2021.15668	USA	Colombia
2021.58327	Colombia	Argentina
2021.58327	Colombia	Ecuador
2021.54491	Colombia	Brazil
2021.29567	Colombia	Chile
2021.4325800000001	Colombia	USA
2021.3238000000001	Colombia	USA
2021.4134000000001	USA	Canada
2021.21418	Colombia	USA
2021.41423	USA	Peru
2021.39697	USA	Venezuela
2021.45176	USA	Brazil
2021.27068	USA	Venezuela
2021.39696	Venezuela	Spain
2021.33121	Venezuela	Chile
2021.21992	Brazil	Argentina
2021.22162	Brazil	USA
2021.38326	Brazil	USA
2021.58326	Brazil	Peru
2021.4728	Brazil	Chile
2021.08042	Brazil	Peru
2021.29285	Peru	Venezuela
2021.14765	Peru	Canada
2021.16158	Brazil	Portugal
2021.43532	Portugal	Ecuador
2021.35313	Brazil	Mexico
2021.41614	Brazil	USA
2021.29373	Brazil	Colombia
2021.45175	Brazil	Colombia
2021.15893	Brazil	USA
2021.35587	USA	Peru
2021.19882	USA	Mexico
2021.4325800000001	Mexico	USA
2021.323	Mexico	USA
2021.58601	Mexico	Guatemala
2021.41614	Mexico	USA
2021.32573	Mexico	Guatemala
2021.22262	Brazil	USA
2021.52573	USA	Mexico
2021.26819	Brazil	Netherlands
2021.15483	Brazil	Chile
2021.25375	Chile	France
2021.2593	Chile	Colombia
2021.5832500000001	Colombia	Ecuador
2021.40517	Colombia	Chile
2021.38598	Colombia	Chile
2021.17783	Brazil	Chile
2021.33393	Chile	Netherlands
2021.3531	Chile	Colombia
2021.27092	Brazil	USA
2021.59968	Brazil	Peru
2021.22543	Brazil	Colombia
2021.43804	Colombia	Canada
2021.28736	Brazil	Colombia
2021.3174900000001	Brazil	USA
2021.37777	Brazil	Spain
2021.56681	Brazil	Colombia
2021.55037	Brazil	Colombia
2021.13092	Brazil	Colombia
2021.21064	Colombia	Venezuela
2021.34489	Colombia	Chile
2021.22434	Colombia	Canada
2021.27639	Colombia	USA
2021.48461	Colombia	Chile
2021.31625	Colombia	Guatemala
2021.4791400000001	Guatemala	Canada
2021.31475	Colombia	Chile
2021.2446	Colombia	Chile
2021.2582	Colombia	Chile
2021.3144300000001	Chile	Colombia
2021.49832	Colombia	Chile
2021.61338	Chile	Peru
2021.20589	Brazil	Spain
2021.5448900000001	Brazil	Argentina
2021.30379	Brazil	Argentina
2021.30379	Brazil	Spain
2021.38051	Brazil	Ecuador
2021.26442	Brazil	Mexico
2021.36953	Mexico	USA
2021.45172	Mexico	USA
2021.55584	Mexico	USA
2021.57501	Mexico	USA
2021.16704	Brazil	Argentina
2021.5476	Argentina	Spain
2021.4435	Argentina	Chile
2021.5722600000001	Argentina	Peru
2021.51203	Brazil	Ecuador
2021.4325900000001	Brazil	Chile
2021.21615	Brazil	Japan
2021.19927	Brazil	Chile
2021.49286	Chile	Brazil
2021.35588	Brazil	Chile
2021.4325800000001	Brazil	Japan
2021.27644	Brazil	Colombia
2021.22859	Brazil	Colombia
2020.98051	Brazil	Colombia
2021.0742500000001	Brazil	Colombia
2021.29287	Colombia	Belgium
2021.27097	Colombia	USA
2021.28402	Colombia	USA
2021.31754	Colombia	Mexico
2021.29015	Colombia	USA
2021.40796	Colombia	USA
2021.3065900000001	Colombia	USA
2021.35064	Colombia	Italy
2021.25726	Colombia	USA
2021.18337	Colombia	USA
2021.28465	USA	Mexico
2021.2737	Colombia	USA
2021.25725	Colombia	USA
2021.20246	Colombia	Panama
2021.4243900000001	Colombia	Mexico
2021.30932	Colombia	USA
2021.49836	Colombia	Chile
2021.3833	Colombia	Mexico
2021.29563	Colombia	Germany
2021.42987	Colombia	Canada
2021.4624000000001	Colombia	Chile
2021.08563	Brazil	USA
2021.25178	USA	Canada
2021.24357	USA	Canada
2021.36915	USA	Canada
2021.41616	USA	Mexico
2021.50657	USA	Guatemala
2021.33398	USA	Canada
2021.29875	USA	Canada
2021.32575	Canada	USA
2021.5038200000001	USA	Argentina
2021.3275	USA	Canada
2020.9180000000001	Brazil	Peru
2021.07369	Peru	Chile
2021.25177	Peru	Brazil
2021.13149	Peru	Ecuador
2020.9724	Peru	Brazil
2021.09438	Peru	Netherlands
2021.34219	Netherlands	Germany
2021.14493	Netherlands	Belgium
2021.1845600000001	Peru	Colombia
2021.18833	Peru	Spain
2021.23958	Peru	Colombia
2021.14219	Peru	USA
2020.9888	Peru	Brazil
2021.18603	Peru	Brazil
2021.32302	Peru	Colombia
2021.31754	Peru	Colombia
2020.95705	Brazil	Paraguay
2021.30109	Brazil	Chile
2021.44355	Brazil	Colombia
2021.47917	Brazil	Italy
2021.40793	Brazil	USA
2021.08864	Brazil	Italy
2021.27644	Brazil	Belgium
2021.16136	Brazil	Peru
2021.23259	Brazil	Chile
2021.44904	Brazil	Chile
2021.4901300000001	Brazil	Chile
2021.4326	Brazil	Suriname
2021.30931	Brazil	Chile
2021.30657	Brazil	Paraguay
2021.38329	Paraguay	Brazil
2021.45178	Brazil	Chile
2021.17147	Brazil	Chile
2021.35314	Chile	Brazil
2021.61889	Chile	Brazil
2021.3163	Chile	Suriname
2021.27917	Brazil	Colombia
2021.06273	Brazil	Argentina
2021.41341	Brazil	Mexico
2021.31752	Brazil	Chile
2021.29834	Brazil	Peru
2021.25998	Brazil	Chile
2021.19423	Brazil	Argentina
2021.52848	Argentina	Chile
2021.53397	Argentina	Chile
2021.03983	Brazil	Jordan
2021.42164	Brazil	Colombia
2021.17506	Brazil	Colombia
2021.34767	Brazil	Colombia
2021.20794	Brazil	Italy
2021.1102700000001	Brazil	Peru
2021.1917700000001	Brazil	Peru
2021.44082	Brazil	Chile
2021.1192800000001	Brazil	Colombia
2021.33943	Brazil	Colombia
2021.47368	Brazil	USA
2021.2134	Brazil	Uruguay
2021.28464	Brazil	Colombia
2021.2874	Brazil	Argentina
2021.4463	Brazil	Chile
2021.47096	Brazil	Ecuador
2021.22126	Brazil	Colombia
2021.14244	Brazil	Colombia
2021.4325900000001	Colombia	Chile
2021.31024	Colombia	Peru
2021.33546	Brazil	Chile
2021.42986	Chile	Argentina
2021.45452	Chile	USA
2021.59151	USA	Mexico
2021.31207	Brazil	Chile
2021.26001	Brazil	Chile
2021.0463	Brazil	Italy
2021.33945	Italy	Brazil
2021.2435600000001	Brazil	Ecuador
2021.2435500000001	Brazil	Argentina
2021.27959	Brazil	Bolivia
2021.45419	Bolivia	Spain
2021.32575	Brazil	Spain
2021.15677	Brazil	Peru
2021.55864	Brazil	Peru
2021.42165	Brazil	USA
2021.2874100000001	Brazil	Colombia
2021.2255	Brazil	France
2021.60248	France	Peru
2021.21115	Brazil	Chile
2021.63262	Chile	Brazil
2021.34221	Chile	Spain
2021.40119	Chile	Brazil
2021.51207	Chile	Brazil
2021.47919	Chile	Spain
2021.48193	Chile	Brazil
2021.39425	Brazil	Chile
2021.4819400000001	Brazil	Chile
2021.07095	Brazil	France
2021.3339700000001	Brazil	Colombia
2021.3222600000001	Brazil	Chile
2021.32301	Brazil	Peru
2021.32926	Brazil	Chile
2021.00794	Brazil	Colombia
2021.03917	Brazil	Colombia
2021.0490300000001	Colombia	Brazil
2021.3778	Brazil	Chile
2021.30658	Brazil	Argentina
2021.58877	Argentina	Brazil
2021.16384	Brazil	USA
2021.2106800000001	USA	Bolivia
2021.29287	Brazil	Chile
2021.41329	Brazil	Chile
2021.51753	Brazil	Ecuador
2021.28465	Brazil	Colombia
2021.5038200000001	Brazil	Chile
2021.25233	Brazil	Germany
2021.18876	Brazil	Italy
2021.36959	Brazil	Canada
2021.21804	Brazil	Chile
2021.63532	Chile	Brazil
2021.44081	Chile	Argentina
2021.00246	Brazil	Japan
2021.25177	Brazil	Chile
2021.16958	Brazil	Colombia
2021.13671	Brazil	Peru
2021.38054	Brazil	Canada
2021.00246	Brazil	Japan
2021.3339700000001	Brazil	Peru
2021.4463	Brazil	Chile
2021.3147900000001	Brazil	Chile
2021.2292300000001	Brazil	Chile
2021.30109	Brazil	Portugal
2021.2572400000001	Brazil	France
2021.48462	Brazil	Argentina
2021.47917	Brazil	Japan
2021.16938	Brazil	Uruguay
2021.46822	Brazil	Chile
2021.39698	Brazil	Argentina
2021.28384	Brazil	Chile
2021.13223	Brazil	Chile
2021.27893	Chile	Brazil
2021.36412	Brazil	Spain
2021.21891	Brazil	Chile
2021.25452	Brazil	Chile
2021.2764300000001	Brazil	Chile
2021.1778	Brazil	USA
2021.29835	Brazil	France
2021.25725	Brazil	Chile
2021.24082	Brazil	Chile
2021.2737	Brazil	Chile
2021.29837	Brazil	Chile
2021.44836	Chile	Brazil
2021.33672	Brazil	Chile
2021.15	Brazil	Peru
2021.24237	Peru	Chile
